ticker,full_name,rule1_score,management_score,moat_score,buy_price,last_price,last_gr,long_gr,guru
META,Meta Platforms Inc,100,100,100,$2889,N/A,30,20,7 years
AIT,Applied Industrial Technologies Inc,93,93,93,$1538,N/A,33,5,4 years
AMAT,Applied Materials Inc,97,100,93,$219,N/A,20,15,8 years
AMZN,Amazon.com Inc,88,88,88,$27220,N/A,73,17,3 years
ANET,Arista Networks Inc,100,100,100,$1502,N/A,48,22,7 years
ANET,Arista Networks Inc,100,100,100,$1502,N/A,48,22,7 years
APP,AppLovin Corp,83,75,90,$353,N/A,25,0,8 years
APP,AppLovin Corp,83,75,90,$353,N/A,25,0,8 years
ATAT,Atour Lifestyle Holdings Ltd,93,95,90,$1982873,N/A,144,0,0 years
ATAT,Atour Lifestyle Holdings Ltd,93,95,90,$1982873,N/A,144,0,0 years
CAMT,Camtek Ltd,96,98,95,$55381784,N/A,256,18,3 years
CAMT,Camtek Ltd,96,98,95,$55381784,N/A,256,18,3 years
FIX,Comfort Systems USA Inc,99,98,100,$1040,N/A,29,22,8 years
FIX,Comfort Systems USA Inc,99,98,100,$1040,N/A,29,22,8 years
GMAB,Genmab AS,100,100,100,$20533,N/A,56,40,0 years
GMAB,Genmab AS,100,100,100,$20533,N/A,56,40,0 years
GOOGL,Alphabet Inc,97,100,93,$262,N/A,19,19,8 years
GOOGL,Alphabet Inc,97,100,93,$262,N/A,19,19,8 years
IBKR,Interactive Brokers Group Inc,90,80,100,$1010,N/A,32,20,2 years
IBKR,Interactive Brokers Group Inc,90,80,100,$1010,N/A,32,20,2 years
IESC,IES Holdings Inc,98,95,100,$17601,N/A,66,22,5 years
IESC,IES Holdings Inc,98,95,100,$17601,N/A,66,22,5 years
KNSL,Kinsale Capital Group Inc,95,90,100,$4456,N/A,38,38,3 years
KNSL,Kinsale Capital Group Inc,95,90,100,$4456,N/A,38,38,3 years
NVDA,NVIDIA Corp,100,100,100,$7444,N/A,64,62,6 years
NVDA,NVIDIA Corp,100,100,100,$7444,N/A,64,62,6 years
PHM,PulteGroup Inc,97,100,93,$963,N/A,37,17,4 years
PHM,PulteGroup Inc,97,100,93,$963,N/A,37,17,4 years
PJT,PJT Partners Inc,88,88,88,$202,N/A,26,2,N/A
PJT,PJT Partners Inc,88,88,88,$202,N/A,26,2,N/A
PYPL,PayPal Holdings Inc,89,88,90,$106,N/A,15,15,6 years
PYPL,PayPal Holdings Inc,89,88,90,$106,N/A,15,15,6 years
TSM,Taiwan Semiconductor Manufacturing Co Ltd,100,100,100,$6493,N/A,18,18,1 years
TSM,Taiwan Semiconductor Manufacturing Co Ltd,100,100,100,$6493,N/A,18,18,1 years
ULTA,Ulta Beauty Inc,85,100,70,$1880,N/A,27,13,6 years
ULTA,Ulta Beauty Inc,85,100,70,$1880,N/A,27,13,6 years
UUUU,Energy Fuels Inc,67,40,94,$0,N/A,158,21,N/A
UUUU,Energy Fuels Inc,67,40,94,$0,N/A,158,21,N/A
GDRX,GoodRx Holdings Inc,33,30,35,$3,N/A,8,0,Infinity years
GDRX,GoodRx Holdings Inc,33,30,35,$3,N/A,8,0,Infinity years
WULF,TeraWulf Inc,25,0,50,$0,N/A,N/A,N/A,N/A
WULF,TeraWulf Inc,25,0,50,$0,N/A,N/A,N/A,N/A
COMM,CommScope Holding Co Inc,14,20,8,$4,N/A,75,7,N/A
COMM,CommScope Holding Co Inc,14,20,8,$4,N/A,75,7,N/A
WBA,Walgreens Boots Alliance Inc,5,0,9,$32,N/A,7,3,Infinity years
WBA,Walgreens Boots Alliance Inc,5,0,9,$32,N/A,7,3,Infinity years
APLD,Applied Digital Corp,0,0,0,$0,N/A,N/A,N/A,N/A
APLD,Applied Digital Corp,0,0,0,$0,N/A,N/A,N/A,N/A
VSAT,Viasat Inc,44,0,88,$14,N/A,256,0,Infinity years
VSAT,Viasat Inc,44,0,88,$14,N/A,256,0,Infinity years
CNTA,Centessa Pharmaceuticals PLC,20,40,0,$0,N/A,95,0,Infinity years
CNTA,Centessa Pharmaceuticals PLC,20,40,0,$0,N/A,95,0,Infinity years
TRMD,TORM PLC,69,70,68,$73350,N/A,92,14,Infinity years
TRMD,TORM PLC,69,70,68,$73350,N/A,92,14,Infinity years
AVPT,AvePoint Inc,52,40,63,N/A,N/A,339,0,N/A
AVPT,AvePoint Inc,52,40,63,$4,N/A,339,0,Infinity years
INDV,Indivior PLC,19,23,15,$10,N/A,229,7,N/A
INDV,Indivior PLC,19,23,15,$10,N/A,229,7,N/A
HUT,Hut 8 Corp,39,20,58,N/A,N/A,2287,0,N/A
HUT,Hut 8 Corp,39,20,58,$0,N/A,2287,0,N/A
SOFI,SoFi Technologies Inc,33,15,50,$3554150,N/A,269,0,1 years
SOFI,SoFi Technologies Inc,33,15,50,$3554150,N/A,269,0,1 years
PGNY,Progyny Inc,63,80,47,$62747,N/A,126,37,3 years
PGNY,Progyny Inc,63,80,47,$62747,N/A,126,37,3 years
ACAD,ACADIA Pharmaceuticals Inc,37,40,33,$285250726,N/A,428,21,1 years
ACAD,ACADIA Pharmaceuticals Inc,37,40,33,$285250726,N/A,428,21,1 years
CSX,CSX Corp,43,50,35,N/A,N/A,N/A,N/A,N/A
CSX,CSX Corp,43,50,35,$24,N/A,6,8,15 years
SUPN,Supernus Pharmaceuticals Inc,62,70,53,N/A,N/A,113,9,N/A
SUPN,Supernus Pharmaceuticals Inc,62,70,53,$61484,N/A,113,9,1 years
RPRX,Royalty Pharma PLC,53,43,63,$278256,N/A,126,0,1 years
RPRX,Royalty Pharma PLC,53,43,63,N/A,N/A,126,0,N/A
RNA,Avidity Biosciences Inc,52,40,63,$0,N/A,36,0,N/A
RNA,Avidity Biosciences Inc,52,40,63,$0,N/A,36,0,N/A
CGNX,Cognex Corp,55,90,20,$11,N/A,4,3,27 years
CGNX,Cognex Corp,55,90,20,$11,N/A,4,3,27 years
FAST,Fastenal Co,88,100,75,$11,N/A,10,7,18 years
FAST,Fastenal Co,88,100,75,$11,N/A,10,7,18 years
BBIO,BridgeBio Pharma Inc,37,7,67,$0,N/A,1,39,Infinity years
BBIO,BridgeBio Pharma Inc,37,7,67,$0,N/A,1,39,Infinity years
MRCY,Mercury Systems Inc,19,0,38,$22,N/A,5,2,Infinity years
MRCY,Mercury Systems Inc,19,0,38,$22,N/A,5,2,Infinity years
INOD,Innodata Inc,57,40,73,$163,N/A,33,14,14 years
INOD,Innodata Inc,57,40,73,$163,N/A,33,14,14 years
SYM,Symbotic Inc,45,40,50,$35,N/A,10044,0,Infinity years
SYM,Symbotic Inc,45,40,50,$35,N/A,10044,0,Infinity years
AMSC,American Superconductor Corp,39,40,38,$8,N/A,24,13,18 years
AMSC,American Superconductor Corp,39,40,38,$8,N/A,24,13,18 years
IRON,Disc Medicine Inc,30,60,0,$0,N/A,N/A,N/A,N/A
IRON,Disc Medicine Inc,30,60,0,$0,N/A,N/A,N/A,N/A
HALO,Halozyme Therapeutics Inc,63,60,65,$7504,N/A,62,39,4 years
HALO,Halozyme Therapeutics Inc,63,60,65,$7504,N/A,62,39,4 years
